Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.11,-.17,-.19,-.10,-.09,-.11,-.05,-.07,-.12
1898,-.01,-.28,-.49,-.29,-.29,-.18,-.21,-.25,-.20,-.33,-.37,-.22,-.26,-.26,-.16,-.36,-.21,-.30
1899,-.15,-.38,-.35,-.20,-.23,-.31,-.15,-.08,-.04,-.04,.14,-.25,-.17,-.17,-.25,-.26,-.18,.02
1900,-.34,-.04,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.05,-.07,-.09,-.21,-.05,-.10,.00
1901,-.21,-.10,.07,-.01,-.15,-.11,-.14,-.20,-.22,-.28,-.17,-.27,-.15,-.13,-.12,-.03,-.15,-.22
1902,-.17,-.06,-.28,-.28,-.32,-.30,-.28,-.29,-.29,-.28,-.35,-.41,-.28,-.26,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.40,-.39,-.41,-.35,-.45,-.50,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.40,-.46
1904,-.63,-.57,-.47,-.49,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.32,-.46,-.48,-.57,-.49,-.49,-.37
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.25,-.06,-.12,-.26,-.28,-.42,-.27,-.25,-.16
1906,-.28,-.29,-.18,-.05,-.25,-.20,-.23,-.19,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.28
1907,-.42,-.51,-.27,-.36,-.46,-.41,-.34,-.33,-.34,-.23,-.46,-.46,-.38,-.36,-.36,-.36,-.36,-.34
1908,-.45,-.33,-.55,-.44,-.37,-.38,-.35,-.46,-.36,-.44,-.51,-.49,-.43,-.42,-.41,-.45,-.40,-.44
1909,-.72,-.45,-.54,-.58,-.54,-.51,-.45,-.33,-.39,-.39,-.31,-.56,-.48,-.48,-.55,-.56,-.43,-.36
1910,-.41,-.42,-.51,-.42,-.34,-.39,-.35,-.37,-.39,-.41,-.55,-.67,-.43,-.43,-.46,-.42,-.37,-.45
1911,-.62,-.58,-.61,-.53,-.51,-.49,-.41,-.43,-.41,-.26,-.20,-.21,-.44,-.48,-.62,-.55,-.44,-.29
1912,-.25,-.14,-.37,-.17,-.21,-.23,-.42,-.54,-.58,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.39,-.51
1913,-.40,-.45,-.42,-.39,-.44,-.45,-.36,-.33,-.35,-.32,-.19,-.01,-.34,-.38,-.42,-.41,-.38,-.29
1914,.04,-.09,-.23,-.29,-.21,-.26,-.24,-.16,-.17,-.03,-.15,-.04,-.15,-.15,-.02,-.24,-.22,-.12
1915,-.20,-.03,-.10,.06,-.06,-.21,-.12,-.22,-.21,-.24,-.13,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.55,-.43,-.25,-.22,-.23,-.44,-.33,-.67,-.46,-.47,-.67,-.58,-.30,-.33
1918,-.47,-.34,-.25,-.43,-.43,-.36,-.31,-.31,-.17,-.06,-.12,-.29,-.30,-.33,-.49,-.37,-.33,-.12
1919,-.20,-.24,-.21,-.13,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.24,-.21,-.33,-.29
1920,-.24,-.27,-.12,-.24,-.27,-.35,-.30,-.27,-.22,-.26,-.27,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.13,-.18,-.19,-.21,-.23,-.28,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.34,-.31,-.28,-.32,-.36,-.33,-.14,-.18,-.28,-.28,-.31,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.41,-.33,-.29,-.31,-.33,-.31,-.14,-.02,-.04,-.27,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.09,-.31,-.19,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
